"","nmc","3003","3008","3015","3016","3017","3018","3019","3035","3037","3049","3054","3088","4097","4142","4147","4150","4153","4160","4173","4178","4179","4185","4196","CAPTACAO","controle","junco","pousio1","pousio2","pousio3","pousio4","SALAO","uri"
"30","Eragrostis_tenella",0,0,0,1,0,132,0,0,0,0,0,0,0,5,0,0,20,28,13,70,0,1,0,0,1,0,0,0,88,94,0,0
"31","Euphorbia_adenoptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"32","Euphorbia_hyssopifolia",0,0,0,0,22,0,4,0,0,0,0,0,0,0,0,0,0,8,0,17,0,0,0,0,1,0,0,0,0,0,0,0
"33","Euphorbia_serpens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"34","Euploca_procumbens",0,0,0,73,0,0,0,0,0,0,0,8,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"35","Evolvulus_cordatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,32,0
"36","Froelichia_humboldtiana",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"37","Gamochaeta_pensylvanica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"38","Heliotropium_angiospermum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"39","Herissantia_crispa",0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,5,0
"40","Herissantia_tiubae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"41","Hexasepalum_teres",113,0,0,0,1,0,0,0,6,4,0,0,1,2,10,0,3,0,70,14,1,0,0,10,0,0,0,0,0,31,0,7
"42","Jatropha_mollissima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Kallstroemia_tribuloides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"44","Kyllinga_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"45","Ludwigia_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,2,0,2,0,0,0,41,1
"46","Ludwigia_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"47","Marsypianthes_chamaedrys",1,0,0,0,10,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,3,0,0,1,0,8,0
"48","Mesosphaerum_suaveolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"49","Microtea_celosioides",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1
"50","Mitracarpus_aff_longicalyx",0,0,0,0,0,0,0,3,0,2,0,1,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,7,0,0,1
"51","Mollugo_verticillata",27,1,1,52,11,26,10,3,10,4,0,5,108,0,2,6,168,4,2,4,37,0,57,9,0,8,34,2,24,3,7,0
"52","Monopera_micrantha",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Neesiochloa_barbata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"54","Nicotiana_glauca",44,78,5,202,2,2,5,195,0,11,0,24,31,370,45,127,252,292,475,140,61,302,0,0,1,6,1,0,106,696,0,0
"55","Oxalis_glaucescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"56","Paspalum_erianthum",0,0,63,0,2,0,0,0,0,0,0,0,0,25,7,43,33,0,27,5,56,0,0,0,0,3,1,0,0,0,24,0
"57","Phyllanthus_heteradenius",0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,2,1,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0
"58","Portulaca_elatior",2,0,25,0,0,0,2,0,1,0,0,0,13,0,0,0,0,0,3,0,0,1,28,0,0,0,42,216,29,9,0,0
"59","Portulaca_halimoides",0,19,54,14,9,40,1,7,0,0,0,15,3,63,46,19,14,5,4,467,315,14,32,5,0,7,861,4,54,2,2,12
"60","Portulaca_oleracea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,2,1
